review_id,rating_date,count_helpful,count_unhelpful,employee_length,employee_status,employee_type,flag_covid,flag_featured,flags_business_outlook,flags_ceo_approval,flags_recommend_frend,rating_culture_values,rating_diversity_inclusion,rating_overall,rating_work_life,summary,review_advice,career_opportunities_rating,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities
1,2025-06-03T00:00:00.000Z,0.0,0.0,0.0,REGULAR,Current employee,False,False,,,,0.0,0,3.0,0.0,Amazon,,,"Richmond, VA",Warehouse Fulfillment Associate,don’t micro manage,"not interactive 
can leave or take off whenever as long as you have time 
easy work","inhumane 
draining physically &amp; mentally",0.0,0.0,0.0
2,2025-05-29T00:00:00.000Z,0.0,0.0,1.0,CONTRACT,"Current employee, less than 1 year",False,False,POSITIVE,APPROVE,POSITIVE,5.0,5,4.0,3.0,Good,,,"Brampton, ON",Warehouse Associate,Remove all attitude manager from warehouse,good and easy work enviorment,"Sticks rules and completing targets any how, otherwise get warning",5.0,3.0,5.0
3,2025-05-28T00:00:00.000Z,0.0,0.0,1.0,REGULAR,"Current employee, less than 1 year",False,False,POSITIVE,APPROVE,POSITIVE,5.0,5,5.0,5.0,Good experience,,,"Bolton, ON",Warehouse Associate,,"help to grow , good pay ,","limited opportunities for advancement,No clear path for promotion",5.0,5.0,5.0
4,2025-05-26T00:00:00.000Z,0.0,0.0,2.0,PART_TIME,Current employees,False,False,POSITIVE,APPROVE,POSITIVE,2.0,2,3.0,2.0,Dhdh,,,"Swedesboro, NJ",Employee,,"Plenty of work
Meet new people","Tough on the body
Labor intensive",2.0,2.0,3.0
5,2025-05-23T00:00:00.000Z,0.0,0.0,0.0,REGULAR,Current employee,False,False,,,,0.0,0,4.0,0.0,Good Pay rate,,,"Whitby, ON",Fulfillment Associate,,"Good Holiday pay 
Additional benefits for permanent employees",Not hiring permanent employees directly,0.0,0.0,0.0
6,2025-05-18T00:00:00.000Z,0.0,0.0,2.0,REGULAR,Former employees,False,False,,,,3.0,3,3.0,3.0,worst American sweat shop,,,"Kenosha, WI",Warehouse Associate,,"Nice people, Great pay and benefits.",management does not care about its employees. hours are way to long.,4.0,2.0,3.0
7,2025-05-17T00:00:00.000Z,0.0,0.0,4.0,REGULAR,Current employees,False,False,NEGATIVE,NO_OPINION,NEGATIVE,4.0,4,4.0,3.0,warehouse,,,"Oklahoma City, OK",Associate,should have physical strength,"learn lift trucks, pallet jack, flex schedule/ Shifts","fast paced working environment, weight lifting",5.0,5.0,4.0
8,2025-05-15T00:00:00.000Z,0.0,0.0,0.0,REGULAR,Current employee,False,False,,,,2.0,4,2.0,1.0,less than ideal,,,,,no,decent work that wasnt too miserable,people in charge wasnt very good,3.0,2.0,4.0
9,2025-05-14T00:00:00.000Z,0.0,0.0,1.0,REGULAR,"Former employee, less than 1 year",False,False,,,,0.0,0,3.0,0.0,Amazon,,,"Clarksville, TN",Fulfillment Associate,Get better,"Good pay, not too long hours",Management absolutely is terrible at communicating,4.0,0.0,3.0
10,2025-05-14T00:00:00.000Z,0.0,0.0,1.0,1,"Former employee, less than 1 year",False,False,,,,0.0,0,2.0,0.0,Keep Going keep trying,,,"Appleton, WI",Warehouse Worker,,Workout and regularly routine habit,"More work life,  less sleep .",0.0,0.0,0.0
