review_id,rating_date,count_helpful,count_unhelpful,employee_length,employee_status,employee_type,flag_covid,flag_featured,flags_business_outlook,flags_ceo_approval,flags_recommend_frend,rating_culture_values,rating_diversity_inclusion,rating_overall,rating_work_life,summary,review_advice,career_opportunities_rating,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,summary cleaned,pros_cleaned,summary_cleaned,cons_cleaned,advice_cleaned
1,2025-06-03T00:00:00.000Z,0.0,0.0,0.0,REGULAR,Current employee,False,False,,,,0.0,0,3.0,0.0,Amazon,,,"Richmond, VA",Warehouse Fulfillment Associate,don’t micro manage,"not interactive 
can leave or take off whenever as long as you have time 
easy work","inhumane 
draining physically &amp; mentally",0.0,0.0,0.0,amazon,interactive leave take whenever long time easy work,amazon,inhumane draining physically amp mentally,don’t micro manage
2,2025-05-29T00:00:00.000Z,0.0,0.0,1.0,CONTRACT,"Current employee, less than 1 year",False,False,POSITIVE,APPROVE,POSITIVE,5.0,5,4.0,3.0,Good,,,"Brampton, ON",Warehouse Associate,Remove all attitude manager from warehouse,good and easy work enviorment,"Sticks rules and completing targets any how, otherwise get warning",5.0,3.0,5.0,good,good easy work enviorment,good,sticks rules completing targets otherwise get warning,remove attitude manager warehouse
3,2025-05-28T00:00:00.000Z,0.0,0.0,1.0,REGULAR,"Current employee, less than 1 year",False,False,POSITIVE,APPROVE,POSITIVE,5.0,5,5.0,5.0,Good experience,,,"Bolton, ON",Warehouse Associate,,"help to grow , good pay ,","limited opportunities for advancement,No clear path for promotion",5.0,5.0,5.0,good experience,help grow good pay,good experience,limited opportunities advancementno clear path promotion,
4,2025-05-26T00:00:00.000Z,0.0,0.0,2.0,PART_TIME,Current employees,False,False,POSITIVE,APPROVE,POSITIVE,2.0,2,3.0,2.0,Dhdh,,,"Swedesboro, NJ",Employee,,"Plenty of work
Meet new people","Tough on the body
Labor intensive",2.0,2.0,3.0,dhdh,plenty work meet new people,dhdh,tough body labor intensive,
5,2025-05-23T00:00:00.000Z,0.0,0.0,0.0,REGULAR,Current employee,False,False,,,,0.0,0,4.0,0.0,Good Pay rate,,,"Whitby, ON",Fulfillment Associate,,"Good Holiday pay 
Additional benefits for permanent employees",Not hiring permanent employees directly,0.0,0.0,0.0,good pay rate,good holiday pay additional benefits permanent employees,good pay rate,hiring permanent employees directly,
6,2025-05-18T00:00:00.000Z,0.0,0.0,2.0,REGULAR,Former employees,False,False,,,,3.0,3,3.0,3.0,worst American sweat shop,,,"Kenosha, WI",Warehouse Associate,,"Nice people, Great pay and benefits.",management does not care about its employees. hours are way to long.,4.0,2.0,3.0,worst american sweat shop,nice people great pay benefits,worst american sweat shop,management care employees hours way long,
7,2025-05-17T00:00:00.000Z,0.0,0.0,4.0,REGULAR,Current employees,False,False,NEGATIVE,NO_OPINION,NEGATIVE,4.0,4,4.0,3.0,warehouse,,,"Oklahoma City, OK",Associate,should have physical strength,"learn lift trucks, pallet jack, flex schedule/ Shifts","fast paced working environment, weight lifting",5.0,5.0,4.0,warehouse,learn lift trucks pallet jack flex schedule shifts,warehouse,fast paced working environment weight lifting,physical strength
8,2025-05-15T00:00:00.000Z,0.0,0.0,0.0,REGULAR,Current employee,False,False,,,,2.0,4,2.0,1.0,less than ideal,,,,,no,decent work that wasnt too miserable,people in charge wasnt very good,3.0,2.0,4.0,less ideal,decent work wasnt miserable,less ideal,people charge wasnt good,
9,2025-05-14T00:00:00.000Z,0.0,0.0,1.0,REGULAR,"Former employee, less than 1 year",False,False,,,,0.0,0,3.0,0.0,Amazon,,,"Clarksville, TN",Fulfillment Associate,Get better,"Good pay, not too long hours",Management absolutely is terrible at communicating,4.0,0.0,3.0,amazon,good pay long hours,amazon,management absolutely terrible communicating,get better
10,2025-05-14T00:00:00.000Z,0.0,0.0,1.0,1,"Former employee, less than 1 year",False,False,,,,0.0,0,2.0,0.0,Keep Going keep trying,,,"Appleton, WI",Warehouse Worker,,Workout and regularly routine habit,"More work life,  less sleep .",0.0,0.0,0.0,keep going keep trying,workout regularly routine habit,keep going keep trying,work life less sleep,
11,2025-05-13T00:00:00.000Z,0.0,0.0,4.0,REGULAR,Former employees,False,False,POSITIVE,APPROVE,POSITIVE,5.0,5,5.0,5.0,Amazon Fulfillment Center BDL2,,,"Windsor, CT",Picker/Packer,Appreciation for employees,"Tuition reimbursement 
Schedule flexibility 
Benefits
Salary
Overtime opportunities","Standing +10 hours
Noise
Safety hazards 
Overworking
Get write ups for not meeting their rate expectations",5.0,4.0,4.0,amazon fulfillment center bdl2,tuition reimbursement schedule flexibility benefits salary overtime opportunities,amazon fulfillment center bdl2,standing 10 hours noise safety hazards overworking get write ups meeting rate expectations,appreciation employees
12,2025-05-07T00:00:00.000Z,0.0,0.0,0.0,REGULAR,Current employee,False,False,,,,0.0,0,3.0,0.0,pro/cons,,,"Sparrows Point, MD",WHSS,,The benefits are great and start immediately,The workplace culture is bad,0.0,0.0,0.0,procons,benefits great start immediately,procons,workplace culture bad,
13,2025-05-04T00:00:00.000Z,0.0,0.0,0.0,REGULAR,Former employee,False,False,,,,0.0,0,5.0,0.0,warehouse associate,,,"Ajax, ON",Warehouse Associate,,"good pay
stress-free
hard working","night-shift
overtime
no cons at all",0.0,0.0,0.0,warehouse associate,good pay stressfree hard working,warehouse associate,nightshift overtime cons,
